variable,estimate,t_stat,sd,is_dummy,change_prob
retcall,0.18427588323130956,4.185690985349744,0.17726644939287267,1,0.7138386714102503
creditaa,-0.09045689586664615,-11.03039726159328,0.3343883568189577,1,-0.3504073850200434
eqpdays,3.424777040236234e-4,19.54889689907698,252.69372206252908,0,0.33524192515697476
occhmkr,0.06372613659690468,1.4133916102612762,0.05663187697507888,1,0.24685911083297696
refurb,0.056138159803816104,7.350743377220887,0.34644592605503904,1,0.21746518701782927
months,-0.005105427538364729,-10.898798271050998,9.72850955635389,0,-0.19240218363497402
credita,-0.046521778295746316,-5.473212259988934,0.3060074339910343,1,-0.18021373078208291
webcap,-0.038980346585052526,-4.356459702215882,0.29550802897233946,1,-0.15100011097196703
mou,-6.50933428148591e-5,-5.5560759302875535,528.6856445002708,0,-0.13331090087546782
mailres,-0.03218365885853459,-1.5646801001988897,0.48636946660662,1,-0.12467144304422824
occstud,0.02942687917135301,1.003396887323586,0.08751903761466212,1,0.11399236819861595
mcycle,0.029347587312188905,1.3760835436071637,0.11627146735849835,1,0.11368521137262856
changem,-1.128693827337569e-4,-9.145318851752926,253.88682420056145,0,-0.11100636546345741
marryun,0.026743246521869712,3.278606162580968,0.4838085680091092,1,0.10359664667788013
setprcm,-0.023836172486243867,-2.4737346657757535,0.4955355109209509,1,-0.09233536912547494
children,0.02286718752019904,3.387198227229538,0.43116549590120806,1,0.08858176377761885
uniqsubs,0.019995536704638214,6.700772352427226,1.1325107273175241,0,0.0877216839979748
dropvce,0.00250804688763449,1.4844322271269266,8.998898161287727,0,0.087429210885093
incmiss,-0.02058957729102693,-1.4307163151080695,0.4248052023335704,1,-0.07975887153869361
changer,5.14602490001509e-4,6.396589452555753,38.623993289334905,0,0.07699466371662608
revenue,4.4742829728288346e-4,2.4964904001002437,44.05628157878241,0,0.0763594614468279
actvsubs,-0.02993015168072031,-5.02072660265481,0.6531853288690855,0,-0.07573156114256958
age1,-7.963454935446524e-4,-3.806851184845231,22.07684945182332,0,-0.06810361936237877
recchrge,-7.353994578245864e-4,-3.5771748436725455,23.836503354372233,0,-0.06790432295465432
newcelly,-0.017382567615947482,-2.661642495988031,0.39522004673098127,1,-0.06733571835383037
prizmrur,0.01710387077514168,1.4373250197195797,0.21444276457891148,1,0.06625611651403168
overage,1.758078228664393e-4,2.802423526788147,95.84501937235952,0,0.06527386299183037
occself,-0.0164812056388787,-0.8557165802042074,0.13354893530828904,1,-0.06384406754804997
peakvce,-1.5075337842457726e-4,-2.9349726102667013,104.57102482234392,0,-0.061067478481419815
phones,0.011526157706230455,2.682304396475908,1.3365019226224266,0,0.059674077719569396
blckvce,0.0013296098709811466,0.7972407005019094,10.599219602837122,0,0.05459208623423946
marryyes,0.013843031486441768,1.7780648763388065,0.48332296591453316,1,0.053624440872536795
mailflag,-0.012376627649619406,-0.6098279067010555,0.12012621587073667,1,-0.04794395925837886
prizmtwn,0.011819664638960389,1.5661542859148585,0.35729518774962404,1,0.04578642389031104
occret,-0.011198097513246647,-0.5158879103955101,0.12059162681152631,1,-0.04337862834250819
incalls,-6.559526704933099e-4,-2.695284123593663,16.460913456155286,0,-0.04182712423708642
roam,0.0011650571638747915,3.2462541133495715,9.072035171124082,0,0.04094336473003214
creditcd,0.010118104972387042,0.966210143939607,0.4630467868516691,1,0.03919500742054256
outcalls,2.6925976724485905e-4,1.942946892718532,35.018997283441834,0,0.03652638924032822
income,-0.0030066073578612555,-2.0786777995772243,3.1095860182793666,0,-0.03621686556844709
prizmub,-0.009273476045222552,-1.5846327474629964,0.46758343326419033,1,-0.03592312625720581
occcler,0.009053752985490271,0.5041527332954442,0.14146780873281367,1,0.0350719740918375
dropblk,-5.624058982510248e-4,-0.34293384086000406,15.290616353911341,0,-0.03331243882347472
unansvce,2.124694285494758e-4,2.025240478723407,38.89990733029638,0,0.032016701485970786
threeway,-0.006993523590491756,-2.7639836823992345,1.1646755750129616,0,-0.03155241330862052
setprc,1.3951634649349035e-4,2.0716039490391696,56.98067094239532,0,0.030795284726465044
pcown,0.007889517921214619,1.0616781126582377,0.39130039935439004,1,0.030562018709078258
truck,0.006733813246811174,0.7801586554880058,0.3932050438303688,1,0.02608510792263954
custcare,-0.001274364629347837,-2.3523459085654728,5.18404051590384,0,-0.025591377680559753
age2,-2.757738431520098e-4,-1.69206625338889,23.913808304092928,0,-0.025546616306986392
opeakvce,-6.392535707294303e-5,-1.0304471782333922,93.34700646308232,0,-0.023115597726322726
occcrft,-0.005593489045245452,-0.3706465879682666,0.17113326905345466,1,-0.021667777240247106
mourec,3.093442386987008e-5,0.997903588113456,165.9212657910942,0,0.019882713495336768
occprof,-0.004657008983389315,-0.5970457724113452,0.38169962479661285,1,-0.018040087759478456
models,0.004362546800845483,0.6601954317164901,0.9085326469812434,0,0.0153536701786021
refer,-0.014179105325396759,-1.4085936688419909,0.2594428650735404,0,-0.014250238416860607
